Bullied_on_school_property_in_past_12_months;Bullied_not_on_school_property_in_past_12_months;Cyber_bullied_in_past_12_months;Custom_Age;Sex;Physically_attacked;Physical_fighting;Felt_lonely;Close_friends;Miss_school_no_permission;Other_students_kind_and_helpful;Parents_understand_problems;Most_of_the_time_or_always_felt_lonely;Missed_classes_or_school_without_permission;Bullied_in_past_12_months
0.0;1.0;0.0;15;0;2.5;0.0;2;3;1.5;4;0;0.0;1.0;1
0.0;0.0;0.0;15;0;0.0;0.0;2;3;0.0;4;3;0.0;0.0;0
0.0;0.0;0.0;15;0;0.0;0.0;3;3;0.0;2;1;1.0;0.0;0
1.0;0.0;1.0;15;0;0.0;0.0;2;3;0.0;4;3;0.0;0.0;1
0.0;0.0;0.0;15;0;0.0;0.0;2;2;0.0;2;3;0.0;0.0;0
1.0;1.0;0.0;15;0;0.0;0.0;4;3;0.0;4;2;1.0;0.0;1
0.0;0.0;1.0;16;1;0.0;0.0;1;3;0.0;4;1;0.0;0.0;1
0.0;0.0;1.0;15;0;1.0;0.0;3;2;0.0;3;4;1.0;0.0;1
0.0;0.0;0.0;15;0;0.0;0.0;2;1;0.0;4;3;0.0;0.0;0
0.0;1.0;1.0;15;0;1.0;0.0;2;3;1.5;0;1;0.0;1.0;1
0.0;0.0;0.0;16;0;0.0;0.0;2;2;0.0;4;4;0.0;0.0;0
0.0;0.0;0.0;16;0;0.0;0.0;1;3;0.0;4;0;0.0;0.0;0
0.0;1.0;1.0;15;0;0.0;0.0;1;1;1.5;4;3;0.0;1.0;1
0.0;1.0;1.0;16;1;0.0;0.0;1;3;0.0;4;3;0.0;0.0;1
1.0;0.0;1.0;15;0;0.0;0.0;3;3;0.0;4;4;1.0;0.0;1
0.0;0.0;0.0;15;0;0.0;0.0;1;3;0.0;4;0;0.0;0.0;0
0.0;0.0;0.0;15;0;0.0;0.0;3;3;0.0;3;0;1.0;0.0;0
0.0;0.0;0.0;15;1;0.0;0.0;2;0;0.0;0;0;0.0;0.0;0
0.0;0.0;0.0;15;1;0.0;1.0;2;3;0.0;4;4;0.0;0.0;0
0.0;1.0;1.0;15;1;0.0;0.0;3;3;1.5;3;3;1.0;1.0;1
0.0;0.0;0.0;15;1;0.0;0.0;2;3;0.0;1;4;0.0;0.0;0
0.0;0.0;0.0;15;1;0.0;0.0;2;3;0.0;1;0;0.0;0.0;0
0.0;0.0;0.0;16;1;0.0;1.0;2;3;0.0;3;2;0.0;0.0;0
0.0;1.0;1.0;15;0;0.0;0.0;3;0;4.0;3;0;1.0;1.0;1
0.0;0.0;0.0;16;1;0.0;0.0;2;3;7.5;4;3;0.0;1.0;0
0.0;0.0;0.0;15;0;0.0;0.0;0;3;0.0;1;3;0.0;0.0;0
0.0;0.0;0.0;15;1;0.0;4.5;0;3;0.0;2;1;0.0;0.0;0
1.0;0.0;1.0;15;0;0.0;0.0;3;2;1.5;3;0;1.0;1.0;1
0.0;0.0;0.0;15;1;0.0;0.0;2;3;0.0;1;4;0.0;0.0;0
0.0;0.0;1.0;15;1;0.0;2.5;1;3;0.0;1;4;0.0;0.0;1
0.0;0.0;0.0;17;0;0.0;0.0;0;1;0.0;2;2;0.0;0.0;0
0.0;0.0;0.0;16;1;0.0;2.5;2;3;0.0;2;2;0.0;0.0;0
0.0;0.0;0.0;16;0;0.0;0.0;1;0;0.0;2;2;0.0;0.0;0
0.0;0.0;0.0;16;0;0.0;0.0;1;3;0.0;3;2;0.0;0.0;0
0.0;0.0;1.0;16;0;0.0;2.5;1;3;0.0;3;3;0.0;0.0;1
0.0;0.0;0.0;16;1;0.0;2.5;2;0;1.5;4;1;0.0;1.0;0
0.0;0.0;0.0;17;1;0.0;2.5;2;3;4.0;4;1;0.0;1.0;0
0.0;0.0;0.0;16;1;0.0;0.0;2;3;0.0;3;1;0.0;0.0;0
0.0;1.0;0.0;16;0;2.5;0.0;0;3;0.0;2;4;0.0;0.0;1
0.0;0.0;0.0;16;0;0.0;0.0;1;3;0.0;1;3;0.0;0.0;0
0.0;0.0;0.0;16;0;0.0;0.0;1;3;0.0;3;2;0.0;0.0;0
1.0;0.0;0.0;16;0;2.5;0.0;3;3;7.5;4;2;1.0;1.0;1
0.0;1.0;0.0;16;0;0.0;0.0;0;3;0.0;1;4;0.0;0.0;1
0.0;0.0;0.0;16;1;0.0;0.0;2;3;1.5;2;2;0.0;1.0;0
0.0;0.0;0.0;16;1;0.0;0.0;0;1;0.0;4;4;0.0;0.0;0
0.0;0.0;1.0;17;1;0.0;2.5;1;3;1.5;2;2;0.0;1.0;1
0.0;0.0;0.0;17;0;0.0;0.0;2;3;0.0;3;4;0.0;0.0;0
0.0;1.0;0.0;16;0;0.0;0.0;1;3;0.0;1;1;0.0;0.0;1
1.0;1.0;1.0;16;0;1.0;0.0;4;0;0.0;0;1;1.0;0.0;1
0.0;0.0;0.0;16;0;0.0;0.0;3;3;0.0;3;2;1.0;0.0;0
0.0;1.0;1.0;17;1;1.0;0.0;3;3;0.0;3;2;1.0;0.0;1
1.0;0.0;0.0;15;1;0.0;0.0;0;3;0.0;3;4;0.0;0.0;1
0.0;0.0;0.0;14;1;1.0;0.0;2;3;0.0;2;0;0.0;0.0;0
0.0;0.0;0.0;13;1;0.0;0.0;0;3;1.5;2;4;0.0;1.0;0
1.0;1.0;1.0;13;0;0.0;0.0;3;2;0.0;3;1;1.0;0.0;1
1.0;0.0;0.0;14;0;12.0;0.0;0;3;4.0;0;0;0.0;1.0;1
0.0;0.0;0.0;14;0;0.0;0.0;0;1;0.0;3;1;0.0;0.0;0
0.0;0.0;0.0;14;1;0.0;0.0;0;1;4.0;4;1;0.0;1.0;0
0.0;0.0;0.0;13;0;0.0;0.0;0;3;0.0;4;4;0.0;0.0;0
0.0;0.0;0.0;14;1;0.0;0.0;0;3;0.0;3;3;0.0;0.0;0
0.0;0.0;0.0;16;1;0.0;0.0;0;3;4.0;3;3;0.0;1.0;0
0.0;0.0;1.0;15;0;1.0;0.0;1;3;0.0;4;4;0.0;0.0;1
0.0;0.0;0.0;15;0;0.0;0.0;0;3;10.0;2;0;0.0;1.0;0
1.0;1.0;1.0;15;1;0.0;0.0;0;2;7.5;3;4;0.0;1.0;1
0.0;0.0;0.0;12;2;0.0;0.0;1;3;0.0;3;4;0.0;0.0;0
0.0;0.0;0.0;17;1;0.0;0.0;2;3;1.5;3;2;0.0;1.0;0
0.0;0.0;0.0;14;0;0.0;0.0;1;3;0.0;2;0;0.0;0.0;0
0.0;0.0;0.0;14;1;0.0;0.0;3;3;0.0;2;0;1.0;0.0;0
0.0;0.0;0.0;14;1;0.0;0.0;0;3;0.0;0;4;0.0;0.0;0
0.0;0.0;0.0;15;1;1.0;0.0;0;3;0.0;4;0;0.0;0.0;0
0.0;0.0;0.0;15;1;0.0;0.0;2;3;0.0;2;2;0.0;0.0;0
0.0;0.0;0.0;17;1;1.0;1.0;3;2;1.5;4;0;1.0;1.0;0
1.0;0.0;0.0;15;1;1.0;0.0;1;3;1.5;4;3;0.0;1.0;1
0.0;0.0;0.0;17;0;0.0;1.0;0;2;1.5;0;1;0.0;1.0;0
0.0;0.0;1.0;15;0;1.0;1.0;1;3;10.0;4;2;0.0;1.0;1
1.0;1.0;1.0;16;1;8.5;2.5;3;2;1.5;2;0;1.0;1.0;1
0.0;0.0;0.0;16;1;0.0;1.0;2;3;0.0;0;3;0.0;0.0;0
0.0;1.0;1.0;17;0;0.0;0.0;1;1;10.0;2;1;0.0;1.0;1
0.0;0.0;0.0;16;0;0.0;0.0;2;2;0.0;2;0;0.0;0.0;0
0.0;0.0;1.0;15;1;0.0;0.0;1;3;0.0;0;1;0.0;0.0;1
1.0;1.0;1.0;15;0;0.0;0.0;3;3;10.0;2;3;1.0;1.0;1
1.0;0.0;1.0;16;0;0.0;0.0;1;1;7.5;4;1;0.0;1.0;1
1.0;1.0;1.0;16;0;0.0;0.0;1;3;0.0;3;3;0.0;0.0;1
0.0;0.0;0.0;15;0;0.0;0.0;3;3;1.5;3;1;1.0;1.0;0
0.0;0.0;0.0;16;2;0.0;0.0;0;3;0.0;3;4;0.0;0.0;0
0.0;1.0;0.0;17;0;0.0;0.0;3;0;4.0;2;0;1.0;1.0;1
0.0;0.0;0.0;16;1;0.0;0.0;2;3;1.5;3;4;0.0;1.0;0
0.0;0.0;0.0;16;0;0.0;2.5;0;2;0.0;3;2;0.0;0.0;0
0.0;0.0;0.0;17;0;0.0;0.0;0;2;0.0;0;3;0.0;0.0;0
0.0;0.0;0.0;16;0;0.0;0.0;0;2;4.0;4;4;0.0;1.0;0
0.0;0.0;0.0;15;0;1.0;2.5;1;1;0.0;2;0;0.0;0.0;0
0.0;0.0;0.0;15;0;0.0;1.0;2;3;0.0;2;0;0.0;0.0;0
0.0;0.0;0.0;16;0;0.0;0.0;0;3;0.0;1;4;0.0;0.0;0
0.0;0.0;1.0;13;0;2.5;2.5;1;3;1.5;4;0;0.0;1.0;1
0.0;0.0;0.0;15;1;0.0;0.0;0;3;0.0;2;0;0.0;0.0;0
1.0;1.0;0.0;14;0;0.0;0.0;2;0;10.0;0;0;0.0;1.0;1
1.0;1.0;0.0;14;1;0.0;0.0;0;1;10.0;0;0;0.0;1.0;1
0.0;0.0;0.0;14;1;0.0;0.0;0;3;0.0;1;2;0.0;0.0;0
1.0;1.0;1.0;13;1;1.0;0.0;2;3;10.0;4;3;0.0;1.0;1
1.0;1.0;0.0;13;1;0.0;1.0;0;3;4.0;3;0;0.0;1.0;1
1.0;1.0;0.0;13;1;0.0;1.0;1;3;0.0;3;0;0.0;0.0;1
0.0;1.0;1.0;15;1;1.0;0.0;1;3;10.0;2;4;0.0;1.0;1
0.0;0.0;0.0;15;0;0.0;0.0;2;2;1.5;4;1;0.0;1.0;0
0.0;0.0;0.0;14;1;0.0;0.0;1;3;0.0;4;2;0.0;0.0;0
0.0;0.0;0.0;16;1;2.5;2.5;0;3;0.0;1;3;0.0;0.0;0
0.0;0.0;0.0;16;1;0.0;0.0;0;3;1.5;3;4;0.0;1.0;0
0.0;0.0;0.0;14;1;0.0;0.0;0;3;4.0;3;2;0.0;1.0;0
0.0;0.0;0.0;15;1;2.5;2.5;0;3;0.0;2;1;0.0;0.0;0
0.0;0.0;0.0;15;1;0.0;0.0;0;3;0.0;4;3;0.0;0.0;0
0.0;1.0;1.0;16;1;0.0;1.0;1;3;1.5;1;2;0.0;1.0;1
0.0;0.0;1.0;16;0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;1
0.0;0.0;0.0;18;1;0.0;0.0;2;3;0.0;3;1;0.0;0.0;0
1.0;1.0;1.0;16;2;0.0;0.0;0;2;0.0;0;0;0.0;0.0;1
1.0;1.0;1.0;17;1;1.0;1.0;0;2;1.5;2;0;0.0;1.0;1
0.0;0.0;0.0;17;1;0.0;2.5;3;0;0.0;1;3;1.0;0.0;0
0.0;0.0;1.0;16;0;0.0;0.0;3;0;0.0;2;3;1.0;0.0;1
0.0;0.0;1.0;17;0;0.0;0.0;2;3;0.0;3;3;0.0;0.0;1
1.0;0.0;0.0;13;0;0.0;0.0;1;1;0.0;4;1;0.0;0.0;1
0.0;0.0;0.0;13;0;0.0;0.0;0;3;0.0;3;1;0.0;0.0;0
0.0;0.0;0.0;14;0;0.0;0.0;1;3;0.0;3;2;0.0;0.0;0
1.0;1.0;0.0;14;0;0.0;0.0;1;3;1.5;3;1;0.0;1.0;1
0.0;0.0;0.0;14;0;2.5;0.0;0;1;4.0;0;0;0.0;1.0;0
0.0;0.0;0.0;14;0;0.0;0.0;0;3;0.0;3;0;0.0;0.0;0
0.0;0.0;0.0;14;0;0.0;0.0;3;2;4.0;2;0;1.0;1.0;0
0.0;0.0;0.0;13;0;0.0;0.0;0;3;0.0;4;4;0.0;0.0;0
0.0;0.0;0.0;15;1;0.0;0.0;1;2;0.0;4;3;0.0;0.0;0
0.0;1.0;0.0;16;1;2.5;0.0;1;3;0.0;2;1;0.0;0.0;1
0.0;0.0;0.0;15;0;0.0;0.0;2;3;4.0;4;3;0.0;1.0;0
1.0;0.0;0.0;14;1;0.0;2.5;4;0;1.5;3;1;1.0;1.0;1
0.0;0.0;0.0;13;0;0.0;0.0;0;3;0.0;3;3;0.0;0.0;0
0.0;0.0;0.0;13;1;0.0;0.0;1;3;0.0;1;4;0.0;0.0;0
0.0;1.0;0.0;14;0;1.0;1.0;0;0;1.5;4;1;0.0;1.0;1
0.0;0.0;0.0;15;1;0.0;0.0;0;3;10.0;3;4;0.0;1.0;0
0.0;0.0;0.0;13;1;0.0;2.5;0;3;1.5;2;4;0.0;1.0;0
0.0;0.0;0.0;16;1;0.0;0.0;0;3;0.0;0;0;0.0;0.0;0
0.0;0.0;1.0;17;1;1.0;1.0;1;3;1.5;2;1;0.0;1.0;1
1.0;0.0;1.0;14;0;0.0;1.0;4;2;0.0;4;2;1.0;0.0;1
0.0;0.0;0.0;16;1;2.5;0.0;2;2;4.0;1;0;0.0;1.0;0
0.0;0.0;0.0;14;0;0.0;0.0;0;3;10.0;3;2;0.0;1.0;0
0.0;0.0;0.0;16;0;0.0;1.0;4;3;0.0;3;4;1.0;0.0;0
0.0;0.0;0.0;14;1;0.0;1.0;1;3;4.0;2;1;0.0;1.0;0
0.0;0.0;0.0;15;1;0.0;0.0;0;3;0.0;3;2;0.0;0.0;0
0.0;0.0;0.0;14;1;0.0;0.0;0;3;0.0;1;4;0.0;0.0;0
0.0;0.0;0.0;15;1;2.5;2.5;0;3;1.5;3;3;0.0;1.0;0
1.0;0.0;1.0;16;0;0.0;0.0;3;3;0.0;4;0;1.0;0.0;1
0.0;0.0;0.0;16;1;0.0;0.0;2;0;7.5;4;1;0.0;1.0;0
1.0;1.0;0.0;15;0;10.5;8.5;4;1;10.0;3;1;1.0;1.0;1
1.0;1.0;1.0;14;0;0.0;0.0;0;3;1.5;3;1;0.0;1.0;1
0.0;0.0;0.0;15;1;0.0;0.0;0;3;0.0;1;4;0.0;0.0;0
0.0;0.0;0.0;15;0;0.0;0.0;1;3;4.0;4;2;0.0;1.0;0
1.0;0.0;0.0;15;1;0.0;0.0;1;3;0.0;4;1;0.0;0.0;1
0.0;0.0;0.0;14;0;1.0;1.0;0;3;0.0;3;3;0.0;0.0;0
0.0;0.0;0.0;15;1;0.0;0.0;0;3;0.0;3;0;0.0;0.0;0
1.0;0.0;0.0;15;1;0.0;0.0;3;3;7.5;2;2;1.0;1.0;1
0.0;0.0;1.0;14;0;1.0;0.0;3;3;0.0;2;2;1.0;0.0;1
0.0;0.0;0.0;16;1;0.0;0.0;1;3;0.0;4;0;0.0;0.0;0
0.0;0.0;0.0;17;0;0.0;0.0;1;3;0.0;4;0;0.0;0.0;0
1.0;0.0;0.0;15;0;0.0;0.0;0;3;0.0;4;0;0.0;0.0;1
0.0;0.0;0.0;15;0;0.0;0.0;1;1;10.0;1;4;0.0;1.0;0
0.0;1.0;0.0;15;0;0.0;0.0;1;3;0.0;4;2;0.0;0.0;1
0.0;1.0;0.0;15;0;1.0;1.0;1;3;0.0;2;1;0.0;0.0;1
0.0;1.0;1.0;17;0;0.0;0.0;3;3;0.0;3;1;1.0;0.0;1
0.0;0.0;0.0;15;1;0.0;0.0;1;0;10.0;4;1;0.0;1.0;0
0.0;0.0;0.0;17;1;0.0;12.0;4;1;10.0;1;0;1.0;1.0;0
1.0;1.0;1.0;16;0;0.0;1.0;3;3;10.0;4;0;1.0;1.0;1
0.0;0.0;0.0;16;0;0.0;0.0;1;2;7.5;3;4;0.0;1.0;0
0.0;0.0;0.0;16;0;0.0;0.0;1;3;0.0;4;4;0.0;0.0;0
0.0;0.0;0.0;17;0;0.0;0.0;0;1;0.0;4;4;0.0;0.0;0
0.0;0.0;0.0;17;0;0.0;0.0;0;3;1.5;0;4;0.0;1.0;0
0.0;0.0;0.0;16;0;0.0;0.0;0;2;0.0;3;1;0.0;0.0;0
1.0;1.0;0.0;16;0;6.5;8.5;3;2;0.0;2;0;1.0;0.0;1
0.0;0.0;0.0;16;1;0.0;0.0;2;2;0.0;1;0;0.0;0.0;0
0.0;0.0;0.0;13;0;0.0;0.0;1;3;0.0;4;0;0.0;0.0;0
1.0;1.0;1.0;14;1;12.0;1.0;1;2;0.0;2;0;0.0;0.0;1
0.0;0.0;0.0;12;1;0.0;0.0;0;0;1.5;0;0;0.0;1.0;0
0.0;1.0;0.0;14;1;0.0;0.0;2;3;0.0;2;1;0.0;0.0;1
0.0;0.0;0.0;13;0;0.0;0.0;1;3;1.5;1;2;0.0;1.0;0
0.0;0.0;0.0;13;0;0.0;0.0;1;3;0.0;2;4;0.0;0.0;0
1.0;1.0;1.0;13;1;0.0;2.5;0;3;0.0;0;2;0.0;0.0;1
0.0;0.0;0.0;14;1;0.0;0.0;2;3;0.0;1;3;0.0;0.0;0
0.0;1.0;1.0;15;1;0.0;0.0;1;3;0.0;1;2;0.0;0.0;1
0.0;0.0;0.0;13;0;0.0;0.0;1;2;0.0;4;4;0.0;0.0;0
1.0;0.0;0.0;13;0;0.0;0.0;2;3;0.0;1;1;0.0;0.0;1
0.0;0.0;0.0;14;1;0.0;1.0;0;1;1.5;3;0;0.0;1.0;0
0.0;0.0;0.0;13;0;0.0;0.0;1;3;0.0;3;3;0.0;0.0;0
1.0;1.0;1.0;14;0;0.0;2.5;3;3;1.5;2;0;1.0;1.0;1
0.0;0.0;0.0;14;1;0.0;2.5;1;3;1.5;3;2;0.0;1.0;0
0.0;0.0;0.0;14;1;0.0;0.0;0;3;0.0;4;4;0.0;0.0;0
0.0;0.0;1.0;15;1;0.0;0.0;2;3;1.5;3;1;0.0;1.0;1
0.0;0.0;0.0;15;0;0.0;0.0;3;3;1.5;3;1;1.0;1.0;0
0.0;0.0;0.0;14;1;0.0;0.0;0;3;4.0;4;2;0.0;1.0;0
0.0;0.0;0.0;13;1;1.0;1.0;0;3;0.0;1;4;0.0;0.0;0
1.0;1.0;0.0;14;1;0.0;4.5;0;3;1.5;0;1;0.0;1.0;1
1.0;0.0;0.0;14;0;1.0;0.0;4;3;0.0;0;0;1.0;0.0;1
0.0;0.0;0.0;13;1;0.0;1.0;0;3;1.5;0;0;0.0;1.0;0
1.0;0.0;0.0;16;1;0.0;0.0;1;3;10.0;2;0;0.0;1.0;1
0.0;0.0;0.0;13;1;0.0;2.5;2;3;0.0;0;2;0.0;0.0;0
0.0;0.0;0.0;13;0;0.0;0.0;0;3;0.0;1;4;0.0;0.0;0
1.0;1.0;0.0;14;0;0.0;0.0;1;2;0.0;3;3;0.0;0.0;1
0.0;0.0;0.0;15;1;0.0;2.5;0;3;0.0;4;0;0.0;0.0;0
0.0;0.0;0.0;13;1;2.5;2.5;0;3;0.0;2;0;0.0;0.0;0
0.0;0.0;0.0;13;1;0.0;0.0;2;0;0.0;0;0;0.0;0.0;0
0.0;0.0;0.0;14;1;0.0;0.0;0;3;0.0;3;1;0.0;0.0;0
0.0;0.0;0.0;13;1;0.0;0.0;2;3;0.0;3;2;0.0;0.0;0
1.0;1.0;0.0;13;1;0.0;0.0;3;3;0.0;2;0;1.0;0.0;1
0.0;0.0;0.0;14;0;0.0;1.0;1;3;0.0;3;0;0.0;0.0;0
0.0;1.0;0.0;13;1;0.0;0.0;0;3;1.5;2;1;0.0;1.0;1
0.0;1.0;0.0;14;0;0.0;0.0;0;3;0.0;1;0;0.0;0.0;1
0.0;0.0;0.0;16;0;0.0;0.0;1;2;0.0;4;2;0.0;0.0;0
0.0;0.0;0.0;14;0;0.0;0.0;0;2;0.0;3;2;0.0;0.0;0
1.0;1.0;0.0;15;0;0.0;0.0;4;3;0.0;2;2;1.0;0.0;1
1.0;1.0;0.0;13;0;0.0;0.0;4;3;1.5;2;0;1.0;1.0;1
0.0;0.0;0.0;14;1;0.0;0.0;1;0;10.0;0;2;0.0;1.0;0
0.0;1.0;1.0;15;1;0.0;0.0;0;3;4.0;1;3;0.0;1.0;1
0.0;0.0;1.0;13;0;0.0;0.0;4;3;0.0;1;0;1.0;0.0;1
1.0;0.0;0.0;13;0;1.0;1.0;1;3;4.0;3;1;0.0;1.0;1
0.0;0.0;0.0;13;0;0.0;0.0;4;3;0.0;3;0;1.0;0.0;0
0.0;0.0;0.0;13;1;0.0;1.0;1;3;0.0;0;4;0.0;0.0;0
1.0;0.0;0.0;16;1;1.0;2.5;2;3;0.0;3;2;0.0;0.0;1
0.0;0.0;0.0;15;0;0.0;0.0;0;1;1.5;1;1;0.0;1.0;0
0.0;0.0;1.0;13;1;1.0;2.5;1;3;0.0;4;2;0.0;0.0;1
0.0;0.0;0.0;13;0;0.0;0.0;0;2;1.5;2;4;0.0;1.0;0
0.0;0.0;0.0;16;1;0.0;0.0;0;1;1.5;4;0;0.0;1.0;0
0.0;0.0;0.0;14;1;1.0;1.0;3;3;0.0;2;4;1.0;0.0;0
0.0;0.0;0.0;14;0;0.0;0.0;1;2;0.0;0;3;0.0;0.0;0
1.0;1.0;1.0;15;0;0.0;0.0;1;3;0.0;4;1;0.0;0.0;1
1.0;1.0;1.0;14;0;0.0;0.0;3;3;1.5;3;1;1.0;1.0;1
0.0;0.0;0.0;13;0;0.0;0.0;0;3;0.0;3;1;0.0;0.0;0
0.0;0.0;0.0;14;1;0.0;0.0;0;0;0.0;4;4;0.0;0.0;0
1.0;0.0;1.0;15;1;1.0;1.0;1;3;10.0;3;4;0.0;1.0;1
0.0;1.0;0.0;14;1;0.0;0.0;2;3;0.0;4;2;0.0;0.0;1
1.0;1.0;0.0;15;1;0.0;0.0;0;3;0.0;0;4;0.0;0.0;1
0.0;0.0;0.0;14;1;0.0;0.0;0;3;0.0;1;2;0.0;0.0;0
0.0;0.0;0.0;14;1;0.0;0.0;0;3;0.0;3;3;0.0;0.0;0
0.0;0.0;0.0;13;0;0.0;0.0;2;3;0.0;4;0;0.0;0.0;0
0.0;0.0;0.0;15;1;0.0;0.0;0;3;0.0;3;4;0.0;0.0;0
0.0;0.0;0.0;14;1;0.0;0.0;0;3;4.0;0;4;0.0;1.0;0
0.0;0.0;0.0;13;1;0.0;0.0;0;3;0.0;3;2;0.0;0.0;0
0.0;0.0;0.0;13;0;0.0;0.0;1;3;1.5;0;0;0.0;1.0;0
0.0;0.0;0.0;14;1;0.0;0.0;0;3;0.0;3;3;0.0;0.0;0
0.0;0.0;0.0;13;1;0.0;1.0;0;3;0.0;1;0;0.0;0.0;0
0.0;0.0;0.0;13;1;0.0;0.0;2;3;0.0;4;4;0.0;0.0;0
0.0;0.0;1.0;13;0;0.0;1.0;3;3;0.0;0;4;1.0;0.0;1
0.0;0.0;1.0;13;1;1.0;1.0;2;3;4.0;0;0;0.0;1.0;1
0.0;0.0;0.0;13;0;0.0;0.0;4;3;1.5;0;4;1.0;1.0;0
0.0;0.0;0.0;16;0;0.0;1.0;2;3;7.5;0;2;0.0;1.0;0
1.0;0.0;0.0;15;0;0.0;1.0;2;2;0.0;3;0;0.0;0.0;1
1.0;0.0;0.0;15;0;0.0;1.0;1;2;0.0;0;1;0.0;0.0;1
0.0;0.0;0.0;14;0;0.0;0.0;1;3;0.0;2;1;0.0;0.0;0
0.0;0.0;1.0;14;1;1.0;2.5;1;3;0.0;3;2;0.0;0.0;1
0.0;0.0;0.0;15;1;0.0;0.0;1;3;0.0;3;0;0.0;0.0;0
0.0;0.0;0.0;15;0;0.0;4.5;3;0;4.0;0;0;1.0;1.0;0
0.0;0.0;1.0;14;0;0.0;0.0;3;3;0.0;2;0;1.0;0.0;1
0.0;0.0;0.0;14;0;0.0;0.0;0;3;0.0;3;3;0.0;0.0;0
1.0;1.0;0.0;17;0;0.0;0.0;1;3;10.0;0;1;0.0;1.0;1
0.0;0.0;0.0;14;0;0.0;0.0;0;3;1.5;3;3;0.0;1.0;0
0.0;0.0;0.0;14;1;0.0;10.5;0;3;0.0;2;1;0.0;0.0;0
0.0;0.0;1.0;16;0;0.0;0.0;1;3;1.5;0;4;0.0;1.0;1
1.0;0.0;0.0;14;0;0.0;0.0;3;2;0.0;2;1;1.0;0.0;1
0.0;0.0;0.0;15;1;0.0;0.0;2;3;0.0;3;4;0.0;0.0;0
0.0;0.0;0.0;14;0;0.0;0.0;0;3;10.0;3;4;0.0;1.0;0
0.0;0.0;0.0;16;0;0.0;0.0;3;3;4.0;4;1;1.0;1.0;0
0.0;0.0;0.0;14;0;0.0;0.0;1;3;0.0;3;0;0.0;0.0;0
0.0;1.0;0.0;15;0;1.0;2.5;4;3;0.0;2;0;1.0;0.0;1
0.0;0.0;0.0;14;0;0.0;0.0;0;3;0.0;2;2;0.0;0.0;0
0.0;0.0;0.0;14;0;0.0;0.0;0;3;0.0;3;4;0.0;0.0;0
0.0;0.0;0.0;14;0;0.0;0.0;0;3;0.0;4;4;0.0;0.0;0
0.0;0.0;0.0;17;1;0.0;2.5;3;1;1.5;4;1;1.0;1.0;0
0.0;0.0;0.0;14;0;0.0;0.0;1;3;0.0;3;0;0.0;0.0;0
0.0;0.0;0.0;14;1;0.0;2.5;0;3;0.0;0;4;0.0;0.0;0
0.0;0.0;1.0;14;0;0.0;0.0;0;3;0.0;3;0;0.0;0.0;1
0.0;0.0;0.0;14;0;0.0;0.0;3;1;10.0;2;1;1.0;1.0;0
0.0;0.0;0.0;14;1;0.0;0.0;0;3;1.5;1;4;0.0;1.0;0
0.0;0.0;0.0;14;0;0.0;0.0;0;3;0.0;3;4;0.0;0.0;0
0.0;0.0;0.0;14;0;0.0;0.0;2;3;0.0;3;2;0.0;0.0;0
0.0;0.0;0.0;17;1;0.0;12.0;1;0;0.0;3;1;0.0;0.0;0
0.0;0.0;0.0;15;0;0.0;2.5;0;2;0.0;3;1;0.0;0.0;0
0.0;0.0;0.0;15;1;0.0;0.0;1;3;0.0;2;2;0.0;0.0;0
0.0;0.0;0.0;15;1;0.0;0.0;0;3;0.0;3;4;0.0;0.0;0
0.0;0.0;0.0;14;0;0.0;0.0;1;3;0.0;2;0;0.0;0.0;0
1.0;0.0;0.0;14;1;0.0;0.0;3;3;0.0;2;4;1.0;0.0;1
0.0;1.0;0.0;14;0;0.0;0.0;0;3;1.5;1;2;0.0;1.0;1
0.0;0.0;0.0;16;1;0.0;0.0;0;3;0.0;4;4;0.0;0.0;0
0.0;0.0;0.0;16;0;0.0;0.0;2;3;0.0;1;4;0.0;0.0;0
0.0;1.0;0.0;15;0;1.0;0.0;3;1;0.0;3;1;1.0;0.0;1
0.0;0.0;0.0;17;1;1.0;2.5;0;3;1.5;3;1;0.0;1.0;0
0.0;0.0;1.0;14;0;0.0;0.0;2;3;0.0;0;0;0.0;0.0;1
0.0;0.0;0.0;14;0;0.0;0.0;1;2;1.5;0;0;0.0;1.0;0
0.0;1.0;0.0;15;0;0.0;6.5;3;2;0.0;2;1;1.0;0.0;1
0.0;1.0;1.0;14;0;1.0;0.0;1;2;4.0;2;2;0.0;1.0;1
0.0;0.0;0.0;16;1;0.0;2.5;1;3;1.5;4;3;0.0;1.0;0
1.0;1.0;1.0;16;0;0.0;0.0;2;2;4.0;4;4;0.0;1.0;1
0.0;0.0;0.0;14;0;0.0;0.0;0;3;0.0;1;4;0.0;0.0;0
0.0;0.0;0.0;15;1;0.0;0.0;1;3;4.0;3;0;0.0;1.0;0
0.0;0.0;0.0;15;0;0.0;0.0;0;3;0.0;4;2;0.0;0.0;0
0.0;0.0;0.0;14;0;0.0;0.0;0;3;0.0;1;4;0.0;0.0;0
1.0;1.0;0.0;14;0;0.0;0.0;2;3;1.5;1;3;0.0;1.0;1
0.0;0.0;0.0;16;1;0.0;1.0;2;3;1.5;3;4;0.0;1.0;0
0.0;0.0;1.0;17;1;0.0;0.0;2;2;1.5;0;4;0.0;1.0;1
0.0;0.0;0.0;15;1;0.0;0.0;2;3;4.0;1;4;0.0;1.0;0
